"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,100,5000,5000,16,0,3840x2160.png, 8.531585 s
seam-carving-omp-opt,100,5000,5000,16,0,test.png, 0.612613 s
seam-carving-omp-opt,500,100,100,16,0,valve.png, 0.290376 s
seam-carving-omp-opt,500,100,100,16,0,720x480.png, 0.346046 s
seam-carving-omp-opt,500,100,100,16,0,7680x4320.png, 13.874613 s
seam-carving-omp-opt,500,100,100,16,0,1920x1200.png, 1.116632 s
seam-carving-omp-opt,500,100,100,16,0,1024x768.png, 0.574616 s
seam-carving-omp-opt,500,100,100,16,0,3840x2160.png, 3.635617 s
seam-carving-omp-opt,500,100,100,16,0,test.png, 0.525550 s
seam-carving-omp-opt,500,100,500,16,0,valve.png, 0.395080 s
seam-carving-omp-opt,500,100,500,16,0,720x480.png, 0.463860 s
seam-carving-omp-opt,500,100,500,16,0,7680x4320.png, 14.547950 s
seam-carving-omp-opt,500,100,500,16,0,1920x1200.png, 1.344174 s
seam-carving-omp-opt,500,100,500,16,0,1024x768.png, 0.894146 s
seam-carving-omp-opt,500,100,500,16,0,3840x2160.png, 4.507767 s
seam-carving-omp-opt,500,100,500,16,0,test.png, 0.747017 s
seam-carving-omp-opt,500,100,1000,16,0,valve.png, 0.378924 s
seam-carving-omp-opt,500,100,1000,16,0,720x480.png, 0.463655 s
seam-carving-omp-opt,500,100,1000,16,0,7680x4320.png, 16.076331 s
seam-carving-omp-opt,500,100,1000,16,0,1920x1200.png, 1.500362 s
seam-carving-omp-opt,500,100,1000,16,0,1024x768.png, 0.894676 s
seam-carving-omp-opt,500,100,1000,16,0,3840x2160.png, 5.451116 s
seam-carving-omp-opt,500,100,1000,16,0,test.png, 0.754184 s
seam-carving-omp-opt,500,100,5000,16,0,valve.png, 0.384186 s
seam-carving-omp-opt,500,100,5000,16,0,720x480.png, 0.462305 s
seam-carving-omp-opt,500,100,5000,16,0,7680x4320.png, 23.974534 s
seam-carving-omp-opt,500,100,5000,16,0,1920x1200.png, 1.523970 s
seam-carving-omp-opt,500,100,5000,16,0,1024x768.png, 0.882109 s
seam-carving-omp-opt,500,100,5000,16,0,3840x2160.png, 7.191920 s
seam-carving-omp-opt,500,100,5000,16,0,test.png, 0.746643 s
seam-carving-omp-opt,500,500,100,16,0,valve.png, 0.232149 s
seam-carving-omp-opt,500,500,100,16,0,720x480.png, 0.276652 s
seam-carving-omp-opt,500,500,100,16,0,7680x4320.png, 13.761422 s
seam-carving-omp-opt,500,500,100,16,0,1920x1200.png, 0.960669 s
seam-carving-omp-opt,500,500,100,16,0,1024x768.png, 0.478900 s
seam-carving-omp-opt,500,500,100,16,0,3840x2160.png, 3.680179 s
seam-carving-omp-opt,500,500,100,16,0,test.png, 0.397945 s
seam-carving-omp-opt,500,500,500,16,0,valve.png, 0.283749 s
seam-carving-omp-opt,500,500,500,16,0,720x480.png, 0.354262 s
seam-carving-omp-opt,500,500,500,16,0,7680x4320.png, 14.842621 s
seam-carving-omp-opt,500,500,500,16,0,1920x1200.png, 1.185330 s
seam-carving-omp-opt,500,500,500,16,0,1024x768.png, 0.778283 s
seam-carving-omp-opt,500,500,500,16,0,3840x2160.png, 4.566820 s
seam-carving-omp-opt,500,500,500,16,0,test.png, 0.620619 s
seam-carving-omp-opt,500,500,1000,16,0,valve.png, 0.361630 s
seam-carving-omp-opt,500,500,1000,16,0,720x480.png, 0.357069 s
seam-carving-omp-opt,500,500,1000,16,0,7680x4320.png, 16.238454 s
seam-carving-omp-opt,500,500,1000,16,0,1920x1200.png, 1.395839 s
seam-carving-omp-opt,500,500,1000,16,0,1024x768.png, 0.757872 s
seam-carving-omp-opt,500,500,1000,16,0,3840x2160.png, 5.576897 s
seam-carving-omp-opt,500,500,1000,16,0,test.png, 0.636400 s
seam-carving-omp-opt,500,500,5000,16,0,valve.png, 0.293343 s
seam-carving-omp-opt,500,500,5000,16,0,720x480.png, 0.363434 s
seam-carving-omp-opt,500,500,5000,16,0,7680x4320.png, 24.674896 s
seam-carving-omp-opt,500,500,5000,16,0,1920x1200.png, 1.401726 s
seam-carving-omp-opt,500,500,5000,16,0,1024x768.png, 0.747797 s
seam-carving-omp-opt,500,500,5000,16,0,3840x2160.png, 7.380634 s
seam-carving-omp-opt,500,500,5000,16,0,test.png, 0.611961 s
seam-carving-omp-opt,500,1000,100,16,0,valve.png, 0.238468 s
seam-carving-omp-opt,500,1000,100,16,0,720x480.png, 0.297161 s
seam-carving-omp-opt,500,1000,100,16,0,7680x4320.png, 14.174933 s
seam-carving-omp-opt,500,1000,100,16,0,1920x1200.png, 1.066595 s
seam-carving-omp-opt,500,1000,100,16,0,1024x768.png, 0.475952 s
seam-carving-omp-opt,500,1000,100,16,0,3840x2160.png, 3.441536 s
seam-carving-omp-opt,500,1000,100,16,0,test.png, 0.406665 s
seam-carving-omp-opt,500,1000,500,16,0,valve.png, 0.297121 s
seam-carving-omp-opt,500,1000,500,16,0,720x480.png, 0.353453 s
seam-carving-omp-opt,500,1000,500,16,0,7680x4320.png, 14.990071 s
seam-carving-omp-opt,500,1000,500,16,0,1920x1200.png, 1.320215 s
seam-carving-omp-opt,500,1000,500,16,0,1024x768.png, 0.771854 s
seam-carving-omp-opt,500,1000,500,16,0,3840x2160.png, 4.356175 s
seam-carving-omp-opt,500,1000,500,16,0,test.png, 0.603101 s
seam-carving-omp-opt,500,1000,1000,16,0,valve.png, 0.293157 s
seam-carving-omp-opt,500,1000,1000,16,0,720x480.png, 0.370034 s
seam-carving-omp-opt,500,1000,1000,16,0,7680x4320.png, 16.380614 s
seam-carving-omp-opt,500,1000,1000,16,0,1920x1200.png, 1.450237 s
seam-carving-omp-opt,500,1000,1000,16,0,1024x768.png, 0.737464 s
seam-carving-omp-opt,500,1000,1000,16,0,3840x2160.png, 5.508347 s
seam-carving-omp-opt,500,1000,1000,16,0,test.png, 0.606243 s
seam-carving-omp-opt,500,1000,5000,16,0,valve.png, 0.289654 s
seam-carving-omp-opt,500,1000,5000,16,0,720x480.png, 0.347464 s
seam-carving-omp-opt,500,1000,5000,16,0,7680x4320.png, 24.823332 s
seam-carving-omp-opt,500,1000,5000,16,0,1920x1200.png, 1.427371 s
seam-carving-omp-opt,500,1000,5000,16,0,1024x768.png, 0.744721 s
seam-carving-omp-opt,500,1000,5000,16,0,3840x2160.png, 7.611403 s
seam-carving-omp-opt,500,1000,5000,16,0,test.png, 0.604090 s
seam-carving-omp-opt,500,5000,100,16,0,valve.png, 0.229444 s
seam-carving-omp-opt,500,5000,100,16,0,720x480.png, 0.274917 s
seam-carving-omp-opt,500,5000,100,16,0,7680x4320.png, 15.490116 s
seam-carving-omp-opt,500,5000,100,16,0,1920x1200.png, 1.023180 s
seam-carving-omp-opt,500,5000,100,16,0,1024x768.png, 0.474498 s
seam-carving-omp-opt,500,5000,100,16,0,3840x2160.png, 3.820925 s
seam-carving-omp-opt,500,5000,100,16,0,test.png, 0.401688 s
seam-carving-omp-opt,500,5000,500,16,0,valve.png, 0.285428 s
seam-carving-omp-opt,500,5000,500,16,0,720x480.png, 0.352879 s
seam-carving-omp-opt,500,5000,500,16,0,7680x4320.png, 16.423284 s
seam-carving-omp-opt,500,5000,500,16,0,1920x1200.png, 1.285298 s
seam-carving-omp-opt,500,5000,500,16,0,1024x768.png, 0.741794 s
seam-carving-omp-opt,500,5000,500,16,0,3840x2160.png, 4.873633 s
seam-carving-omp-opt,500,5000,500,16,0,test.png, 0.630725 s
seam-carving-omp-opt,500,5000,1000,16,0,valve.png, 0.289035 s
seam-carving-omp-opt,500,5000,1000,16,0,720x480.png, 0.351279 s
seam-carving-omp-opt,500,5000,1000,16,0,7680x4320.png, 17.850742 s
seam-carving-omp-opt,500,5000,1000,16,0,1920x1200.png, 1.428775 s
seam-carving-omp-opt,500,5000,1000,16,0,1024x768.png, 0.751690 s
seam-carving-omp-opt,500,5000,1000,16,0,3840x2160.png, 6.022365 s
seam-carving-omp-opt,500,5000,1000,16,0,test.png, 0.612454 s
seam-carving-omp-opt,500,5000,5000,16,0,valve.png, 0.294667 s
seam-carving-omp-opt,500,5000,5000,16,0,720x480.png, 0.357884 s
seam-carving-omp-opt,500,5000,5000,16,0,7680x4320.png, 26.745626 s
seam-carving-omp-opt,500,5000,5000,16,0,1920x1200.png, 1.468642 s
seam-carving-omp-opt,500,5000,5000,16,0,1024x768.png, 0.819260 s
seam-carving-omp-opt,500,5000,5000,16,0,3840x2160.png, 8.209687 s
seam-carving-omp-opt,500,5000,5000,16,0,test.png, 0.598808 s
seam-carving-omp-opt,1000,100,100,16,0,valve.png, 0.284764 s
seam-carving-omp-opt,1000,100,100,16,0,720x480.png, 0.350026 s
seam-carving-omp-opt,1000,100,100,16,0,7680x4320.png, 13.984461 s
seam-carving-omp-opt,1000,100,100,16,0,1920x1200.png, 1.125913 s
seam-carving-omp-opt,1000,100,100,16,0,1024x768.png, 0.585970 s
seam-carving-omp-opt,1000,100,100,16,0,3840x2160.png, 3.569791 s
seam-carving-omp-opt,1000,100,100,16,0,test.png, 0.523915 s
seam-carving-omp-opt,1000,100,500,16,0,valve.png, 0.384262 s
seam-carving-omp-opt,1000,100,500,16,0,720x480.png, 0.446454 s
seam-carving-omp-opt,1000,100,500,16,0,7680x4320.png, 14.636663 s
seam-carving-omp-opt,1000,100,500,16,0,1920x1200.png, 1.352830 s
seam-carving-omp-opt,1000,100,500,16,0,1024x768.png, 0.881434 s
seam-carving-omp-opt,1000,100,500,16,0,3840x2160.png, 4.466332 s
seam-carving-omp-opt,1000,100,500,16,0,test.png, 0.747736 s
seam-carving-omp-opt,1000,100,1000,16,0,valve.png, 0.391810 s
seam-carving-omp-opt,1000,100,1000,16,0,720x480.png, 0.457535 s
seam-carving-omp-opt,1000,100,1000,16,0,7680x4320.png, 15.979436 s
seam-carving-omp-opt,1000,100,1000,16,0,1920x1200.png, 1.518751 s
seam-carving-omp-opt,1000,100,1000,16,0,1024x768.png, 0.877398 s
seam-carving-omp-opt,1000,100,1000,16,0,3840x2160.png, 5.418301 s
seam-carving-omp-opt,1000,100,1000,16,0,test.png, 0.741668 s
seam-carving-omp-opt,1000,100,5000,16,0,valve.png, 0.379131 s
seam-carving-omp-opt,1000,100,5000,16,0,720x480.png, 0.452605 s
seam-carving-omp-opt,1000,100,5000,16,0,7680x4320.png, 24.356076 s
seam-carving-omp-opt,1000,100,5000,16,0,1920x1200.png, 1.520945 s
seam-carving-omp-opt,1000,100,5000,16,0,1024x768.png, 0.912388 s
seam-carving-omp-opt,1000,100,5000,16,0,3840x2160.png, 7.245465 s
seam-carving-omp-opt,1000,100,5000,16,0,test.png, 0.750936 s
seam-carving-omp-opt,1000,500,100,16,0,valve.png, 0.237202 s
seam-carving-omp-opt,1000,500,100,16,0,720x480.png, 0.280698 s
seam-carving-omp-opt,1000,500,100,16,0,7680x4320.png, 14.416046 s
seam-carving-omp-opt,1000,500,100,16,0,1920x1200.png, 0.963456 s
seam-carving-omp-opt,1000,500,100,16,0,1024x768.png, 0.473895 s
seam-carving-omp-opt,1000,500,100,16,0,3840x2160.png, 3.736638 s
seam-carving-omp-opt,1000,500,100,16,0,test.png, 0.413511 s
seam-carving-omp-opt,1000,500,500,16,0,valve.png, 0.287769 s
seam-carving-omp-opt,1000,500,500,16,0,720x480.png, 0.356721 s
seam-carving-omp-opt,1000,500,500,16,0,7680x4320.png, 15.389012 s
seam-carving-omp-opt,1000,500,500,16,0,1920x1200.png, 1.197124 s
seam-carving-omp-opt,1000,500,500,16,0,1024x768.png, 0.755794 s
seam-carving-omp-opt,1000,500,500,16,0,3840x2160.png, 4.695375 s
seam-carving-omp-opt,1000,500,500,16,0,test.png, 0.602605 s
seam-carving-omp-opt,1000,500,1000,16,0,valve.png, 0.292714 s
seam-carving-omp-opt,1000,500,1000,16,0,720x480.png, 0.351576 s
seam-carving-omp-opt,1000,500,1000,16,0,7680x4320.png, 16.691260 s
seam-carving-omp-opt,1000,500,1000,16,0,1920x1200.png, 1.419418 s
seam-carving-omp-opt,1000,500,1000,16,0,1024x768.png, 0.756302 s
seam-carving-omp-opt,1000,500,1000,16,0,3840x2160.png, 5.611489 s
seam-carving-omp-opt,1000,500,1000,16,0,test.png, 0.600340 s
seam-carving-omp-opt,1000,500,5000,16,0,valve.png, 0.283280 s
seam-carving-omp-opt,1000,500,5000,16,0,720x480.png, 0.353932 s
seam-carving-omp-opt,1000,500,5000,16,0,7680x4320.png, 24.599278 s
seam-carving-omp-opt,1000,500,5000,16,0,1920x1200.png, 1.362124 s
seam-carving-omp-opt,1000,500,5000,16,0,1024x768.png, 0.756389 s
seam-carving-omp-opt,1000,500,5000,16,0,3840x2160.png, 7.331844 s
seam-carving-omp-opt,1000,500,5000,16,0,test.png, 0.591631 s
seam-carving-omp-opt,1000,1000,100,16,0,valve.png, 0.236119 s
seam-carving-omp-opt,1000,1000,100,16,0,720x480.png, 0.270860 s
seam-carving-omp-opt,1000,1000,100,16,0,7680x4320.png, 14.276462 s
seam-carving-omp-opt,1000,1000,100,16,0,1920x1200.png, 1.033266 s
seam-carving-omp-opt,1000,1000,100,16,0,1024x768.png, 0.460811 s
seam-carving-omp-opt,1000,1000,100,16,0,3840x2160.png, 3.421609 s
seam-carving-omp-opt,1000,1000,100,16,0,test.png, 0.393746 s
seam-carving-omp-opt,1000,1000,500,16,0,valve.png, 0.278653 s
seam-carving-omp-opt,1000,1000,500,16,0,720x480.png, 0.341245 s
seam-carving-omp-opt,1000,1000,500,16,0,7680x4320.png, 15.017085 s
