"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,1,500,1000,16,0,7680x4320.png, 16.312816 s
seam-carving-omp-opt,1,500,1000,16,0,1920x1200.png, 1.722367 s
seam-carving-omp-opt,1,500,1000,16,0,1024x768.png, 0.804670 s
seam-carving-omp-opt,1,500,1000,16,0,3840x2160.png, 6.057551 s
seam-carving-omp-opt,1,500,1000,16,0,test.png, 0.665946 s
seam-carving-omp-opt,1,500,5000,16,0,valve.png, 0.312978 s
seam-carving-omp-opt,1,500,5000,16,0,720x480.png, 0.382619 s
seam-carving-omp-opt,1,500,5000,16,0,7680x4320.png, 25.827446 s
seam-carving-omp-opt,1,500,5000,16,0,1920x1200.png, 1.736774 s
seam-carving-omp-opt,1,500,5000,16,0,1024x768.png, 0.808789 s
seam-carving-omp-opt,1,500,5000,16,0,3840x2160.png, 8.088306 s
seam-carving-omp-opt,1,500,5000,16,0,test.png, 0.656327 s
seam-carving-omp-opt,1,500,10000,16,0,valve.png, 0.312317 s
seam-carving-omp-opt,1,500,10000,16,0,720x480.png, 0.382409 s
seam-carving-omp-opt,1,500,10000,16,0,7680x4320.png, 25.499228 s
seam-carving-omp-opt,1,500,10000,16,0,1920x1200.png, 1.710758 s
seam-carving-omp-opt,1,500,10000,16,0,1024x768.png, 0.797744 s
seam-carving-omp-opt,1,500,10000,16,0,3840x2160.png, 8.067869 s
seam-carving-omp-opt,1,500,10000,16,0,test.png, 0.645846 s
seam-carving-omp-opt,1,700,1,16,0,valve.png, 0.150576 s
seam-carving-omp-opt,1,700,1,16,0,720x480.png, 0.193841 s
seam-carving-omp-opt,1,700,1,16,0,7680x4320.png, 13.931034 s
seam-carving-omp-opt,1,700,1,16,0,1920x1200.png, 1.002530 s
seam-carving-omp-opt,1,700,1,16,0,1024x768.png, 0.403294 s
seam-carving-omp-opt,1,700,1,16,0,3840x2160.png, 3.652160 s
seam-carving-omp-opt,1,700,1,16,0,test.png, 0.343874 s
seam-carving-omp-opt,1,700,100,16,0,valve.png, 0.251123 s
seam-carving-omp-opt,1,700,100,16,0,720x480.png, 0.304579 s
seam-carving-omp-opt,1,700,100,16,0,7680x4320.png, 14.154603 s
seam-carving-omp-opt,1,700,100,16,0,1920x1200.png, 1.020902 s
seam-carving-omp-opt,1,700,100,16,0,1024x768.png, 0.484814 s
seam-carving-omp-opt,1,700,100,16,0,3840x2160.png, 3.660779 s
seam-carving-omp-opt,1,700,100,16,0,test.png, 0.418782 s
seam-carving-omp-opt,1,700,500,16,0,valve.png, 0.309182 s
seam-carving-omp-opt,1,700,500,16,0,720x480.png, 0.381414 s
seam-carving-omp-opt,1,700,500,16,0,7680x4320.png, 14.792723 s
seam-carving-omp-opt,1,700,500,16,0,1920x1200.png, 1.245211 s
seam-carving-omp-opt,1,700,500,16,0,1024x768.png, 0.792356 s
seam-carving-omp-opt,1,700,500,16,0,3840x2160.png, 4.606099 s
seam-carving-omp-opt,1,700,500,16,0,test.png, 0.652246 s
seam-carving-omp-opt,1,700,700,16,0,valve.png, 0.305640 s
seam-carving-omp-opt,1,700,700,16,0,720x480.png, 0.378923 s
seam-carving-omp-opt,1,700,700,16,0,7680x4320.png, 15.217700 s
seam-carving-omp-opt,1,700,700,16,0,1920x1200.png, 1.491400 s
seam-carving-omp-opt,1,700,700,16,0,1024x768.png, 0.875277 s
seam-carving-omp-opt,1,700,700,16,0,3840x2160.png, 4.999718 s
seam-carving-omp-opt,1,700,700,16,0,test.png, 0.637286 s
seam-carving-omp-opt,1,700,1000,16,0,valve.png, 0.305955 s
seam-carving-omp-opt,1,700,1000,16,0,720x480.png, 0.390257 s
seam-carving-omp-opt,1,700,1000,16,0,7680x4320.png, 16.108421 s
seam-carving-omp-opt,1,700,1000,16,0,1920x1200.png, 1.471606 s
seam-carving-omp-opt,1,700,1000,16,0,1024x768.png, 0.792085 s
seam-carving-omp-opt,1,700,1000,16,0,3840x2160.png, 6.026873 s
seam-carving-omp-opt,1,700,1000,16,0,test.png, 0.641341 s
seam-carving-omp-opt,1,700,5000,16,0,valve.png, 0.313234 s
seam-carving-omp-opt,1,700,5000,16,0,720x480.png, 0.383378 s
seam-carving-omp-opt,1,700,5000,16,0,7680x4320.png, 25.622420 s
seam-carving-omp-opt,1,700,5000,16,0,1920x1200.png, 1.504038 s
seam-carving-omp-opt,1,700,5000,16,0,1024x768.png, 0.791652 s
seam-carving-omp-opt,1,700,5000,16,0,3840x2160.png, 8.498987 s
